office,advertiser_party,election_state,advertiser_type,advertiser,target,title,link,issues_combined,total_airings_to_date,estimated_spending,first_aired_on
house,Democrat,NM,Candidate,Torres-Small for NM CD-02,Torres-Small for NM CD-02,Put Politics Aside,https://s3.amazonaws.com/pdfweb/videos/d08ebcb7-ebd6-450b-ab75-f0dd0f6611b1.mp4,Bipartisanship|Coronavirus|Donald Trump,3099,188530.16,2020-07-14
house,Democrat,VA,Candidate,Webb for VA CD-05,Webb for VA CD-05,Affordable Healthcare,https://s3.amazonaws.com/pdfweb/videos/167c7d87-2087-4c2d-9d30-b85210db58e8.mp4,Barack Obama|Coronavirus|Healthcare,1570,113994.19,2020-05-11
house,Democrat,WI,Candidate,Zunker for WI CD-07,Tiffany for WI CD-07,Put Politics Aside,https://s3.amazonaws.com/pdfweb/videos/1d1bdf91-e6d3-4550-a1cd-4f559dc057ad.mp4,Coronavirus|Donald Trump|Healthcare,1427,299942.25,2020-04-21
house,Democrat,NM,Candidate,Plame for NM CD-03,Plame for NM CD-03,My Sister Valerie,https://s3.amazonaws.com/pdfweb/videos/0ef9fa8a-bb33-406e-99c4-b2f831c84cd2.mp4,Coronavirus|Donald Trump|Economy,940,164014.77,2020-05-02
house,Democrat,CA,Coordinated Buy,DCCC/Christy Smith,Garcia for CA CD-25,Putting Community First,https://s3.amazonaws.com/pdfweb/videos/b377da1b-0fc2-41e5-8fb2-860b7a72a234.mp4,Coronavirus||,899,485721.96,2020-04-29
house,Democrat,VA,Candidate,Russo for VA CD-05,Russo for VA CD-05,What Will They Remember?,https://s3.amazonaws.com/pdfweb/videos/4191f318-c876-42c3-b267-ee4f7688a534.mp4,Coronavirus|Healthcare|,826,57245.97,2020-05-29
house,Democrat,VA,Issue Group,Women Vote!,Russo for VA CD-05,Protect Doctors And Nurses,https://s3.amazonaws.com/pdfweb/videos/b3911b38-4bf3-49f6-9f1b-c450e2cd0538.mp4,Coronavirus|Healthcare|Terrorism,793,100918.76,2020-06-03
house,Republican,OR,Issue Group,Defending Main Street Super PAC,Bentz for OR CD-02,Tough Line,https://s3.amazonaws.com/pdfweb/videos/960c3d4b-96d8-4597-a720-bb0625e3fc72.mp4,Coronavirus|Donald Trump|,770,50063.14,2020-04-24
house,Democrat,AZ,Candidate,Tipirneni for AZ CD-06,Tipirneni for AZ CD-06,No Excuses,https://s3.amazonaws.com/pdfweb/videos/822dd0b3-da46-4d33-82f7-6233d2e36726.mp4,Coronavirus|Healthcare|,697,207533.07,2020-07-02
house,Democrat,NM,Candidate,Fernandez for NM CD-03,Fernandez for NM CD-03,Let Science Guide Us,https://s3.amazonaws.com/pdfweb/videos/7470e106-dfbb-4247-b18d-f076196d60c8.mp4,Coronavirus|Donald Trump|Healthcare,590,117083.85,2020-05-21
house,Democrat,SC,Candidate,Cunningham for SC CD-01,Cunningham for SC CD-01,Low Country First,https://s3.amazonaws.com/pdfweb/videos/c13e7221-11b1-4e71-b75a-4e76d8cbfee7.mp4,Coronavirus|Energy|Environment,582,64384.52,2020-07-02
house,Republican,TN,Candidate,Harshbarger for TN CD-01,Harshbarger for TN CD-01,Outsider,https://s3.amazonaws.com/pdfweb/videos/8923bc86-4a07-44e1-b4a4-e775e266253c.mp4,Coronavirus|Donald Trump|,576,64809.4,2020-06-15
house,Democrat,NJ,Candidate,Kennedy for NJ CD-02,Kennedy for NJ CD-02,Matters,https://s3.amazonaws.com/pdfweb/videos/478c59c2-8007-42b9-9f60-365c7b7dcd0d.mp4,Coronavirus|Economy|Healthcare,465,257473.29,2020-05-27
house,Democrat,OK,Candidate,Horn for OK CD-05,Horn for OK CD-05,Greatest Honor,https://s3.amazonaws.com/pdfweb/videos/376f5ce9-1300-4e21-9221-2e0aa6702644.mp4,Coronavirus|Debt|,433,58963.06,2020-07-01
house,Republican,TX,Candidate,Swann for TX CD-17,Sessions for TX CD-17,Not Fooled By China,https://s3.amazonaws.com/pdfweb/videos/829efbc2-2366-4bd3-a7aa-0513395488a7.mp4,Coronavirus|Donald Trump|Trade,430,39048.15,2020-06-16
house,Democrat,VA,Issue Group,Women Vote!,Russo for VA CD-05,Leading Through This Crisis,https://s3.amazonaws.com/pdfweb/videos/8def58f1-81ca-485b-8d2a-970e5bfc3ad5.mp4,Coronavirus|Healthcare|,420,72842.19,2020-06-15
house,Republican,OK,Candidate,Neese for OK CD-05,Neese for OK CD-05,Stand With Trump,https://s3.amazonaws.com/pdfweb/videos/90c875f5-8319-490a-b9ef-f9b25499b16d.mp4,Coronavirus|Donald Trump|Jobs,418,66557.84,2020-06-19
house,Republican,PA,Issue Group,American Action Network,Perry for PA CD-10,Accelerate Innovation,https://s3.amazonaws.com/pdfweb/videos/c1bb97e6-2f6a-435e-a0b2-311150810a66.mp4,Bipartisanship|Coronavirus|Economy,414,156444.31,2020-07-16
house,Democrat,NY,Candidate,Balter for NY CD-24,Balter for NY CD-24,Virtual Town Halls,https://s3.amazonaws.com/pdfweb/videos/1163fe48-6b1d-4c72-a43c-e1b8026b4421.mp4,Coronavirus|Donald Trump|Healthcare,401,51327.51,2020-05-11
house,Democrat,NY,Candidate,Ocasio-Cortez for NY CD-14,Ocasio-Cortez for NY CD-14,Systemic Problems,https://s3.amazonaws.com/pdfweb/videos/1e99c75d-85a1-42a0-8177-928e373fe28e.mp4,Coronavirus|Economy|Law Enforcement,391,309680.27999999997,2020-06-12
house,Republican,TX,Candidate,Wall for TX CD-22,Wall for TX CD-22,Unite,https://s3.amazonaws.com/pdfweb/videos/ce9fc42e-5351-41a8-95d0-5a6a71ababf5.mp4,Coronavirus|Donald Trump|Jobs,386,160565.51,2020-07-03
house,Democrat,NY,Candidate,Conole for NY CD-24,Conole for NY CD-24,Urgent Mission,https://s3.amazonaws.com/pdfweb/videos/2d767428-5a90-40ac-8a68-53270cc039c0.mp4,Coronavirus|Healthcare|,385,39001.07,2020-06-09
house,Republican,FL,Candidate,Askar for FL CD-19,Askar for FL CD-19,China Must Pay,https://s3.amazonaws.com/pdfweb/videos/7412eae1-df2f-4098-9f4c-c86cc0bfd390.mp4,Coronavirus|Donald Trump|Jobs,379,88257.99,2020-05-01
house,Democrat,MI,Candidate,Tlaib for MI CD-13,Tlaib for MI CD-13,Something Special,https://s3.amazonaws.com/pdfweb/videos/4ad8965d-dd26-40fe-a6f0-d395ca7af539.mp4,Coronavirus|Donald Trump|,377,83374.42,2020-06-27
house,Republican,NY,Candidate,Jacobs for NY CD-27,Jacobs for NY CD-27,Troubling Times,https://s3.amazonaws.com/pdfweb/videos/ac0af861-b180-4520-9b12-360e070076b1.mp4,Coronavirus|Donald Trump|Economy,370,42614.36,2020-05-06
house,Republican,AL,Candidate,Carl for AL CD-01,Hightower for AL CD-01,America At Risk,https://s3.amazonaws.com/pdfweb/videos/6e79c876-5b90-417b-9947-c1a82526dafc.mp4,Coronavirus|Donald Trump|Jobs,368,48563.65,2020-06-16
house,Republican,TN,Candidate,Harshbarger for TN CD-01,Harshbarger for TN CD-01,Put America First,https://s3.amazonaws.com/pdfweb/videos/cbbe02b3-0413-4c0c-ad41-5921ee09979a.mp4,Coronavirus|Donald Trump|,365,32712.83,2020-05-01
house,Republican,TX,Candidate,Jackson for TX CD-13,Jackson for TX CD-13,Put Texas First,https://s3.amazonaws.com/pdfweb/videos/8a2ac5de-b1ff-4d7e-a9e3-adb83f895baa.mp4,Coronavirus|Donald Trump|Economy,365,32824.18,2020-06-16
house,Republican,FL,Candidate,St. George for FL CD-03,St. George for FL CD-03,First Do No Harm,https://s3.amazonaws.com/pdfweb/videos/075a9887-5b41-4f6c-b84a-3d0cf498923c.mp4,Coronavirus|Donald Trump|Nancy Pelosi,351,42807.26,2020-06-05
house,Republican,UT,Candidate,Moore for UT CD-01,Moore for UT CD-01,Expect More,https://s3.amazonaws.com/pdfweb/videos/61bf4d4b-b6ca-41c1-9cba-11d63f1f203c.mp4,Coronavirus|Economy|Healthcare,348,50811.28,2020-05-20
house,Republican,TN,Candidate,Harshbarger for TN CD-01,Harshbarger for TN CD-01,Borders Matter,https://s3.amazonaws.com/pdfweb/videos/a78d1ce3-392a-4656-9e72-873922eb6bf2.mp4,Coronavirus|Donald Trump|Immigration,343,31528.38,2020-05-14
house,Republican,FL,Candidate,Askar for FL CD-19,Askar for FL CD-19,Control The Border,https://s3.amazonaws.com/pdfweb/videos/ae4b5021-9dbe-4a57-8566-a4059e68ce2b.mp4,Coronavirus|Donald Trump|Immigration,330,78489.92,2020-05-22
house,Republican,IN,Candidate,Spartz for IN CD-05,Spartz for IN CD-05,Misery Of Socialism,https://s3.amazonaws.com/pdfweb/videos/78dc7a6e-f73c-431a-810b-74677324c138.mp4,Alexandria Ocasio-Cortez|Coronavirus|Donald Trump,330,43917.5,2020-05-08
house,Republican,GA,Candidate,Fuller for GA CD-14,Fuller for GA CD-14,On Duty For Us,https://s3.amazonaws.com/pdfweb/videos/2417ebe9-faca-49be-b0b9-138b8e71145e.mp4,Coronavirus|Donald Trump|Terrorism,327,34215.42,2020-04-18
house,Independent,VA,Issue Group,With Honor Action,Luria for VA CD-02,Crisis Demands Action,https://s3.amazonaws.com/pdfweb/videos/030765ee-32f8-4332-8b86-a1fb5f3b2664.mp4,Bipartisanship|Coronavirus|Veterans,317,117192.72,2020-06-24
house,Republican,IL,Issue Group,American Action Network,Davis for IL CD-13,Find Cures Faster,https://s3.amazonaws.com/pdfweb/videos/1e54ef88-6687-453e-a52d-d4d706780055.mp4,Bipartisanship|Coronavirus|Economy,309,113865.49,2020-07-17
house,Republican,PA,Candidate,Bognet for PA CD-08,Bognet for PA CD-08,Things Have Changed,https://s3.amazonaws.com/pdfweb/videos/9744d2ac-8a22-4e07-9c6b-3f72db8aa63c.mp4,Coronavirus|Donald Trump|Trade,308,46086.31,2020-05-15
house,Democrat,SC,Candidate,Cunningham for SC CD-01,Cunningham for SC CD-01,Work Together,https://s3.amazonaws.com/pdfweb/videos/38899f23-c0d4-4847-808a-e3314894d19e.mp4,Bipartisanship|Coronavirus|Veterans,304,62651.88,2020-07-02
house,Democrat,VA,Candidate,Webb for VA CD-05,Webb for VA CD-05,Not Going Away,https://s3.amazonaws.com/pdfweb/videos/0bc29b6b-e627-4f86-8c07-f69055eecb56.mp4,Barack Obama|Coronavirus|Medicare,302,17264.920000000002,2020-06-19
house,Democrat,PA,Candidate,Cartwright for PA CD-08,Bognet for PA CD-08,Move America Forward,https://s3.amazonaws.com/pdfweb/videos/6f307f3f-8b18-4db5-8384-0ebd524adc5a.mp4,Coronavirus|Healthcare|,274,31994.89,2020-07-14
house,Republican,WA,Candidate,McMorris-Rodgers for WA CD-05,McMorris-Rodgers for WA CD-05,Restore Hope,https://s3.amazonaws.com/pdfweb/videos/58e5b7ad-6267-43db-b2df-0eddd2160702.mp4,Coronavirus||,274,15485.25,2020-07-17
house,Republican,NY,Candidate,Parlato for NY CD-27,Jacobs for NY CD-27,Conservative Values First,https://s3.amazonaws.com/pdfweb/videos/6b1c8a21-cb96-4e7b-b590-9ad4188b300f.mp4,Career Politicians|Coronavirus|Donald Trump,259,37335.87,2020-06-01
house,Democrat,NM,Candidate,Torres-Small for NM CD-02,Torres-Small for NM CD-02,Poner la PolÃ­tica a un lado,https://s3.amazonaws.com/pdfweb/videos/1d10aa06-bfab-4974-a5ae-305169538981.mp4,Bipartisanship|Coronavirus|Donald Trump,252,21161.45,2020-07-14
house,Democrat,NY,Candidate,Caruso-Cabrera for NY CD-14,Ocasio-Cortez for NY CD-14,AOC Was MIA,https://s3.amazonaws.com/pdfweb/videos/32eced84-e7a8-443d-83af-56e863d562c2.mp4,Coronavirus|Healthcare|Jobs,246,224945.34,2020-06-16
house,Democrat,NY,Candidate,Jones for NY CD-17,Jones for NY CD-17,Personal To Me,https://s3.amazonaws.com/pdfweb/videos/a3ca07fa-a81a-495f-808f-80c7b098a27b.mp4,Coronavirus|Healthcare|Medicare,236,176723.21,2020-06-03
house,Democrat,OH,Candidate,Beatty for OH CD-03,Beatty for OH CD-03,Challenging Times,https://s3.amazonaws.com/pdfweb/videos/75d46645-4a1f-4cd6-9236-2a50112885ec.mp4,Coronavirus||,234,71329.88,2020-04-13
house,Republican,OK,Candidate,Hill for OK CD-05,Hill for OK CD-05,I'm Fed Up,https://s3.amazonaws.com/pdfweb/videos/626bf7fb-ec74-4401-8622-fa4a1ca1a8c1.mp4,Coronavirus|Donald Trump|Economy,234,38219.13,2020-06-17
house,Republican,IA,Issue Group,US Chamber of Commerce,King for IA CD-04,Hurting Farmers,https://s3.amazonaws.com/pdfweb/videos/c0a7a7f2-345a-4fe4-b4de-178c689de8b3.mp4,Agriculture|Coronavirus|Donald Trump,233,90041.49,2020-05-13
house,Republican,KS,Candidate,Taylor for KS CD-02,Taylor for KS CD-02,Not A Rubber Stamp,https://s3.amazonaws.com/pdfweb/videos/0bfc2a8a-ee47-42d4-8245-a0c6e0985298.mp4,Coronavirus|Jobs|,231,16931.55,2020-06-24
house,Democrat,PA,Candidate,Cartwright for PA CD-08,Bognet for PA CD-08,Drug Independence,https://s3.amazonaws.com/pdfweb/videos/ad524116-6863-4bf9-b0eb-d0b04865faa9.mp4,Coronavirus|Healthcare|,229,25682.38,2020-07-15
house,Republican,AL,Candidate,Hightower for AL CD-01,Hightower for AL CD-01,Reignite Our Economy,https://s3.amazonaws.com/pdfweb/videos/c1dbb931-8c80-42f4-81a7-c881e3445174.mp4,Coronavirus|Donald Trump|Economy,224,29862.15,2020-06-22
house,Republican,MI,Candidate,Meijer for MI CD-03,Meijer for MI CD-03,This He'll Defend,https://s3.amazonaws.com/pdfweb/videos/1251f0e8-9a50-4821-b5df-2286ef01f3bc.mp4,Coronavirus|Donald Trump|Economy,224,43979.43,2020-05-23
house,Republican,GA,Candidate,Laughridge for GA CD-14,Laughridge for GA CD-14,Made In China,https://s3.amazonaws.com/pdfweb/videos/6c6008b6-e536-485b-a4b2-27273e1c07eb.mp4,Coronavirus|Jobs|,220,25153.77,2020-05-27
house,Democrat,PA,Candidate,Depasquale for PA CD-10,Depasquale for PA CD-10,Done Something,https://s3.amazonaws.com/pdfweb/videos/4cb14f1c-27c7-4074-b547-8936021f514d.mp4,Coronavirus||,217,60019.41,2020-05-21
house,Republican,WI,Candidate,Tiffany for WI CD-07,Tiffany for WI CD-07,Taking Action,https://s3.amazonaws.com/pdfweb/videos/f14df7b0-b308-4492-95d3-cf9853deb4b4.mp4,Agriculture|Coronavirus|Economy,213,33706.03,2020-05-06
house,Republican,GA,Candidate,Fuller for GA CD-14,Fuller for GA CD-14,On Duty For Us,https://s3.amazonaws.com/pdfweb/videos/5eb8d901-2fb5-4c69-b3bc-ded542c2bd1b.mp4,Coronavirus|Donald Trump|,201,12375.22,2020-05-25
house,Republican,TX,Candidate,Swann for TX CD-17,Swann for TX CD-17,Punish China,https://s3.amazonaws.com/pdfweb/videos/98034368-79c5-4895-8060-544122a4dfc4.mp4,Coronavirus|Donald Trump|Jobs,197,20196.14,2020-06-04
house,Republican,KS,Candidate,Adkins for KS CD-03,Adkins for KS CD-03,Proud Conservative,https://s3.amazonaws.com/pdfweb/videos/3a3554f2-fee7-4c1b-a1eb-fe6a3efc481f.mp4,Coronavirus|Economy|Immigration,196,38582.21,2020-06-30
house,Republican,OK,Candidate,Cole for OK CD-04,Cole for OK CD-04,Fights For Us,https://s3.amazonaws.com/pdfweb/videos/d075712d-c0a7-4d62-bd98-0284d429ee60.mp4,Coronavirus|Jobs|Military,195,27927.7,2020-06-15
house,Republican,SC,Candidate,Landing for SC CD-01,Cunningham for SC CD-01,Trusted Conservative,https://s3.amazonaws.com/pdfweb/videos/d60c77a2-2b33-44c7-bb58-e47b85f60adf.mp4,Coronavirus|Donald Trump|Nancy Pelosi,188,22992.48,2020-05-26
house,Democrat,NY,Candidate,Bowman for NY CD-16,Engel for NY CD-16,Cares About Our Community,https://s3.amazonaws.com/pdfweb/videos/b6ae86af-b791-4e75-8d94-7efabfa4966e.mp4,Character|Coronavirus|,187,36814,2020-06-12
house,Republican,GA,Issue Group,Club for Growth Action,McCormick for GA CD-07,"For Trump, For Congress",https://s3.amazonaws.com/pdfweb/videos/a8beab77-0736-47cf-8505-3147e0bef67f.mp4,Coronavirus|Healthcare|Taxation,179,275712.75,2020-06-02
house,Republican,TN,Candidate,Clark for TN CD-01,Clark for TN CD-01,Make America Stronger,https://s3.amazonaws.com/pdfweb/videos/9a33f697-9bd8-45d6-897c-6af166c494ba.mp4,Coronavirus|Donald Trump|Jobs,169,26344.95,2020-06-10
house,Republican,TX,Candidate,Wall for TX CD-22,Wall for TX CD-22,Fight Back,https://s3.amazonaws.com/pdfweb/videos/ff84ecd7-8ef2-466d-a724-12d9abfdfe9d.mp4,Coronavirus|Donald Trump|,167,109670.09,2020-06-13
house,Republican,IN,Candidate,Brizzi for IN CD-05,Brizzi for IN CD-05,Invisible War,https://s3.amazonaws.com/pdfweb/videos/65fde83d-3a61-4ac7-a473-6d3c57ed17f0.mp4,Coronavirus|Crime|Donald Trump,166,14998.76,2020-05-11
house,Democrat,NY,Candidate,Caruso-Cabrera for NY CD-14,Caruso-Cabrera for NY CD-14,Deliver Results,https://s3.amazonaws.com/pdfweb/videos/ad275042-b0ae-47a3-adc3-2a1c6ff6ae0c.mp4,Coronavirus|General Positive|,161,56631,2020-06-01
house,Republican,PA,Candidate,Bognet for PA CD-08,Bognet for PA CD-08,Make China Pay,https://s3.amazonaws.com/pdfweb/videos/f071b998-7cdb-4b27-a3c5-d9fbfc457a97.mp4,Coronavirus|Donald Trump|,139,22251.15,2020-05-01
house,Republican,KS,Candidate,Mann for KS CD-01,Clifford for KS CD-01,Tax And Spend Liberal,https://s3.amazonaws.com/pdfweb/videos/6bbfbdff-f647-43c2-8ad1-705903d9fd86.mp4,Coronavirus|Jobs|Taxation,116,8794.61,2020-07-18
house,Republican,NY,Issue Group,American Action Network,Katko for NY CD-24,Innovation,https://s3.amazonaws.com/pdfweb/videos/85764bbe-84b5-4f33-a5f8-8ff1039e681a.mp4,Bipartisanship|Coronavirus|Healthcare,114,20803.74,2020-07-16
house,Republican,NC,Candidate,Bennett for NC CD-11,Bennett for NC CD-11,Experienced Leader,https://s3.amazonaws.com/pdfweb/videos/4c2226ae-1d81-4f3c-b5c5-938cc3f90b15.mp4,Coronavirus|Donald Trump|,110,36203.57,2020-05-08
house,Democrat,NY,Candidate,Engel for NY CD-16,Engel for NY CD-16,Deliver Results,https://s3.amazonaws.com/pdfweb/videos/17b40b9e-e27e-4ef5-88fc-49a65a0db63f.mp4,Coronavirus|Donald Trump|Healthcare,104,48585.49,2020-06-16
house,Democrat,NY,Candidate,Goroff for NY CD-01,Goroff for NY CD-01,These Halls,https://s3.amazonaws.com/pdfweb/videos/a8e5e3bd-09c4-40dd-aa14-97846998fade.mp4,Coronavirus|Economy|,97,145699.71,2020-05-22
house,Republican,KS,Candidate,Taylor for KS CD-02,Taylor for KS CD-02,Virus Tracing Program,https://s3.amazonaws.com/pdfweb/videos/619329d6-4078-4c87-99ad-bdaf9a21dd77.mp4,Coronavirus|Economy|Jobs,84,5749.62,2020-07-08
house,Republican,PA,Candidate,Marsicano for PA CD-08,Marsicano for PA CD-08,Defeat The Virus,https://s3.amazonaws.com/pdfweb/videos/c2afdef8-51e9-417d-95cd-87d5daa2bd6a.mp4,Coronavirus|Donald Trump|,81,7569.71,2020-05-18
house,Republican,PA,Candidate,Bognet for PA CD-08,Bognet for PA CD-08,Make China Pay,https://s3.amazonaws.com/pdfweb/videos/78a4fbce-1c2b-48eb-a63e-b0e7dc61bffd.mp4,Coronavirus|Donald Trump|Immigration,74,4184.1900000000005,2020-05-13
house,Democrat,CA,Candidate,Smith for CA CD-25,Garcia for CA CD-25,AquÃ­ Para Todos,https://s3.amazonaws.com/pdfweb/videos/364e9c3f-df78-4709-ae08-4ccfe2741966.mp4,Coronavirus|Donald Trump|,73,41133.840000000004,2020-05-07
house,Democrat,NY,Candidate,Goroff for NY CD-01,Goroff for NY CD-01,Extend Benefits,https://s3.amazonaws.com/pdfweb/videos/b504804c-6ab4-4ac1-9d45-0ab792367f43.mp4,Coronavirus|Healthcare|,70,91721.45,2020-06-10
house,Democrat,MA,Candidate,Neal for MA CD-01,Neal for MA CD-01,He Cares,https://s3.amazonaws.com/pdfweb/videos/7db3040e-d9c7-429d-9368-2ef91aaea23f.mp4,Coronavirus||,67,9628.14,2020-07-16
house,Republican,FL,Candidate,Figlesthaler for FL CD-19,Figlesthaler for FL CD-19,Proven Business Leader,https://s3.amazonaws.com/pdfweb/videos/82f57f31-3035-4ecf-b83c-f098460fed72.mp4,Coronavirus|Donald Trump|Economy,57,10210.87,2020-04-15
house,Republican,NY,Candidate,Garbarino for NY CD-02,Garbarino for NY CD-02,Fight For Long Island,https://s3.amazonaws.com/pdfweb/videos/36ca1e1a-1098-42cb-88e7-4133ccc0f960.mp4,Coronavirus|Crime|Term Limits,56,27077,2020-06-04
house,Democrat,NY,Issue Group,Justice Democrats,Engel for NY CD-16,Actually Cares About Us,https://s3.amazonaws.com/pdfweb/videos/c9d3b9a9-e60d-4a0b-87d7-86cd7a6a0286.mp4,Coronavirus||,55,0,2020-06-13
house,Republican,NE,Issue Group,American Action Network,Bacon for NE CD-02,We Must Innovate,https://s3.amazonaws.com/pdfweb/videos/dee4a6cf-d798-4a48-a153-7f71c44b8096.mp4,Bipartisanship|Coronavirus|Healthcare,52,17492.66,2020-07-21
house,Republican,FL,Candidate,Figlesthaler for FL CD-19,Figlesthaler for FL CD-19,Nation in Fear,https://s3.amazonaws.com/pdfweb/videos/09afa38a-b528-45f1-a6de-f457ac7b8247.mp4,Coronavirus|Donald Trump|Healthcare,48,6030.79,2020-04-01
house,Democrat,NY,Candidate,Goroff for NY CD-01,Goroff for NY CD-01,Front Lines,https://s3.amazonaws.com/pdfweb/videos/cbccec35-0421-4534-b841-97cf464f98f2.mp4,Coronavirus|Healthcare|,46,61636.07,2020-05-19
house,Democrat,WA,Candidate,Kilmer for WA CD-06,Kilmer for WA CD-06,Universal Healthcare,https://s3.amazonaws.com/pdfweb/videos/edd7b70b-4d24-48d7-aa79-a12142dbeab3.mp4,Coronavirus|Healthcare|,37,10650.57,2020-07-21
house,Democrat,NY,Issue Group,Healthcare Education Project,Reed for NY CD-23,Defend Our Healthcare Rep. Reed,https://s3.amazonaws.com/pdfweb/videos/dc319f82-c747-4966-a90b-3a61b6a95e06.mp4,Coronavirus|Healthcare|,36,6625.76,2020-03-16
house,Democrat,OR,Candidate,Reynolds for OR CD-05,Reynolds for OR CD-05,Strong Voice,https://s3.amazonaws.com/pdfweb/videos/a9281832-924a-445f-9044-19a3be56e7fa.mp4,Coronavirus||,34,4064.1,2020-05-11
house,Democrat,NY,Issue Group,Justice Democrats,Engel for NY CD-16,We Deserve Better,https://s3.amazonaws.com/pdfweb/videos/9554830e-64e8-44e6-b8a0-23bb861f20da.mp4,Character|Coronavirus|,22,0,2020-06-13
house,Democrat,MA,Candidate,Neal for MA CD-01,Neal for MA CD-01,Fighting For Small Businesses,https://s3.amazonaws.com/pdfweb/videos/5a343569-a32c-4cec-86a0-7ebb4d603109.mp4,Coronavirus|Jobs|,21,3502.04,2020-06-26
house,Republican,FL,Candidate,Figlesthaler for FL CD-19,Figlesthaler for FL CD-19,America First,https://s3.amazonaws.com/pdfweb/videos/e2c289b4-26b7-4ade-ae10-a8865ba76ae4.mp4,Coronavirus|General Positive|,21,25539.14,2020-05-06
house,Democrat,NY,Issue Group,House Majority Forward,Katko for NY CD-24,Standing In The Way,https://s3.amazonaws.com/pdfweb/videos/d8c9e7a6-543a-42bb-92a0-f726dfe3d34b.mp4,Coronavirus|Economy|Infrastructure,19,3115.66,2020-07-21
house,Democrat,TX,Issue Group,314 Action,Siegel for TX CD-10,Leadership,https://s3.amazonaws.com/pdfweb/videos/2345f181-6f8d-453f-a569-712220b14ac0.mp4,Coronavirus|Healthcare|,18,0,2020-07-02
house,Republican,PA,Candidate,Browning for PA CD-07,Scheller for PA CD-07,True Trump Republican,https://s3.amazonaws.com/pdfweb/videos/4f1519e3-1d62-43bf-b431-93eac16b8edc.mp4,Coronavirus|Donald Trump|,18,6104.2300000000005,2020-05-27
house,Democrat,MA,Candidate,Neal for MA CD-01,Neal for MA CD-01,Nick's West,https://s3.amazonaws.com/pdfweb/videos/b2abde01-b16b-42a6-bd93-1bbb7cab42e7.mp4,Coronavirus||,17,2771.8,2020-06-13
house,Republican,MI,Candidate,Walberg for MI CD-07,Walberg for MI CD-07,Gratitude,https://s3.amazonaws.com/pdfweb/videos/194b56fd-a69f-47ae-b2c8-cd438b69bcc3.mp4,Coronavirus||,17,3885.69,2020-04-22
house,Democrat,NY,Candidate,Gershon for NY CD-01,Zeldin for NY CD-01,Clean Up Their Mess,https://s3.amazonaws.com/pdfweb/videos/4b1474ae-3da5-4c5e-9672-e6cde378e274.mp4,Coronavirus|Donald Trump|Healthcare,16,20530.399999999998,2020-06-06
house,Democrat,NY,Candidate,Fink for NY CD-16,Bowman for NY CD-16,With A Covid Responce Plan,https://s3.amazonaws.com/pdfweb/videos/c8edc497-2bce-4a16-aef6-f50f41f88773.mp4,Alexandria Ocasio-Cortez|Character|Coronavirus,14,2712,2020-06-13
house,Democrat,NY,Candidate,Caruso-Cabrera for NY CD-14,Ocasio-Cortez for NY CD-14,Desempleados,https://s3.amazonaws.com/pdfweb/videos/deec23d6-c593-4e86-8a1e-8119454d4004.mp4,Coronavirus|Healthcare|Jobs,4,1507.47,2020-06-22
